Brand,Title,Product_Url,Average_rating,Product_Code,Reviews,Selling_Price,Orginal_Price,Discount,Sales_Status,Composition
M&S Collection,Fleece Ribbed Short Dressing Gown,https://www.marksandspencer.com/fleece-ribbed-short-dressing-gown/p/clp60608402#intid=pid_pg2pip48g2r7c1,5,T372456G,2,18,18,0,,100% polyester (exclusive of trimmings)
Rosie,Fleece Hooded Long Dressing Gown,https://www.marksandspencer.com/fleece-hooded-long-dressing-gown/p/clp60568612?color=OPALINE#intid=pid_pg2pip48g2r7c2,4.53,T372432G,99,45,45,0,,100% polyester (exclusive of trimmings)
M&S Collection,Pure Cotton Checked Pyjama Set,https://www.marksandspencer.com/pure-cotton-checked-pyjama-set/p/clp60618061#intid=pid_pg2pip48g2r8c1,4.09,T374556F,11,15,15,0,,100% cotton (exclusive of trimmings)
M&S Collection,Brushed Back Borg Hoodie,https://www.marksandspencer.com/brushed-back-borg-hoodie/p/clp60619855#intid=pid_pg2pip48g2r8c2,0,T372470G,,28,28,0,,"100% polyester (exclusive of trimmings), Pocketing (pocket fabric composition) - 100% polyester"
M&S Collection,Pure Cotton Disco Santa Pyjama Set,https://www.marksandspencer.com/pure-cotton-disco-santa-pyjama-set/p/clp60624267#intid=pid_pg2pip48g2r9c1,0,T371399J,,22,22,0,,"100% cotton (exclusive of trimmings), Ribbing - 98% cotton, 2% elastane"
M&S Collection,Fleece Animal Print Short Dressing Gown,https://www.marksandspencer.com/fleece-animal-print-short-dressing-gown/p/clp60613199#intid=pid_pg2pip48g2r9c2,5,T372455G,2,18,18,0,,100% polyester (exclusive of trimmings)
Cyberjammies,Cotton Modal Woodland Print Pyjama Set,https://www.marksandspencer.com/cotton-modal-woodland-print-pyjama-set/p/clp23000575#intid=pid_pg2pip48g2r10c1,0,T838499,,52,52,0,,"60% cotton, 40% modal"
M&S Collection,Fleece Heart Print Lounge Hoodie,https://www.marksandspencer.com/fleece-heart-print-lounge-hoodie/p/clp60613200#intid=pid_pg2pip48g2r10c2,5,T372464G,1,22,22,0,,100% polyester (exclusive of trimmings)
M&S Collection,Fleece Star Print Pyjama Set,https://www.marksandspencer.com/fleece-star-print-pyjama-set/p/clp60618004#intid=pid_pg2pip48g2r11c1,0,T374547F,,18,18,0,,100% polyester (exclusive of trimmings)
M&S Collection,Fleece Star Print Pyjama Set,https://www.marksandspencer.com/fleece-star-print-pyjama-set/p/clp60617995#intid=pid_pg2pip48g2r11c2,5,T374542F,1,18,18,0,,100% polyester (exclusive of trimmings)
Seasalt Cornwall,Fleece Floral Long Dressing Gown,https://www.marksandspencer.com/fleece-floral-long-dressing-gown/p/clp23001207#intid=pid_pg2pip48g2r12c1,0,T838772,,59.95,59.95,0,,100% recycled polyester
Cyberjammies,Pure Cotton Checked Pyjama Bottoms,https://www.marksandspencer.com/pure-cotton-checked-pyjama-bottoms/p/clp23001087#intid=pid_pg2pip48g2r12c2,0,T838519,,26,26,0,,100% cotton
Cyberjammies,Pure Cotton Checked Long Dressing Gown,https://www.marksandspencer.com/pure-cotton-checked-long-dressing-gown/p/clp23001072#intid=pid_pg2pip48g2r13c1,0,T838507,,49,49,0,,100% cotton
Cyberjammies,Pure Cotton Checked Pyjama Bottoms,https://www.marksandspencer.com/pure-cotton-checked-pyjama-bottoms/p/clp23001069#intid=pid_pg2pip48g2r13c2,0,T838510,,26,26,0,,100% cotton
M&S Collection,Cotton Rich Polka Dot Cropped Pyjama Set,https://www.marksandspencer.com/cotton-rich-polka-dot-cropped-pyjama-set/p/clp60620404#intid=pid_pg2pip48g2r14c1,4.77,T374566F,35,15,15,0,,"90% cotton, 10% viscose (exclusive of trimmings)"
M&S Collection,Pure Cotton Snoopy™ Shortie Set,https://www.marksandspencer.com/pure-cotton-snoopy-shortie-set/p/clp60577193#intid=pid_pg2pip48g2r14c2,4.55,T371289J,11,18,18,0,,100% cotton (exclusive of trimmings)
